English	Infinitive	Present continuous	1st person past
to absorb	su	ssa	swiġ
to accept	qbl	tqbal	qblġ
to accept	qvl	tqval	qvlġ
to accompany	mun* d	tmun d	manġ d
to accuse	gr lbaţl xf	ggar lbaţl xf	griġ lbaţl xf
to accustom	walf	twalaf	walfġ
to ache, something	nġ	nqqa	inġay-i (reflexive)
to acknowledge	.عtarf	tعtaraf	.عtarfġ
to adapt	walf	twalaf	walfġ
to add	zayd	tzayad	zaydġ
to adopt	rbba	trbba	rbbaġ
to advance	zwur	zggur	zwarġ
to advise	nşH	tnşaH	nşHġ
to age	wsir	twsir	wsirġ
to agree	qbl	tqbal	qblġ
to agree	tafq	tafaq	tafqġ
to aid	.عawn	tعawan	.عawnġ
to allow	adj	tadja	udjiġ
to amuse	sţs	sţsa	stsiġ
to annoy	brzt	tbrzat	brztġ
to annoy	sddع	tsddaع	sddعġ
to annoy	šwwš	tšwwaš	šwšġ
to answer	jawb	tjawab	jawbġ
to answer	wajb	twajab	wajbġ
to appear	ďhr	tďhar	ďhrġ
to applaud	şffq	tşffaq	şffqġ
to applaud	ut rršš	kkat rršš	wtġ rršš
to applaud	wt abqqa	kkat abqqa	wtġ abqqa
to apply for	ttr	t'ttr	ttrġ
to approve	qbl	tqbal	qblġ
to argue	zi	tzi	ziġ
to arrange a marriage	stahl	stahal	stahlġ
to arrest	amz	tamz	umzġ
to arrest	ţţf	t'ţţf	ţţfġ
to arrive	awď	tawď	iwďġ
to arrive	gulu	tgulu	gulaġ
to ascend	ali	tali	uliġ
to ask	sqsa	sqsa	sqsaġ
to ask (in marriage)	ttr	t'ttr	ttrġ
to assemble (parts)	smun	smun	smanġ
to assist somone giving birth	ssirw	ssiriw	ssuruġ
to associate with	ssur	tssur	ssarġ
to attack	tعdda xf	tعdda xf	tعddaġ xf
to attempt	arm	tarm	urmġ
to attend	Hiďr	tHiďir	Hadrġ
to auction	dll'l	tdllal	dll'lġ
to avoid	.عrq	tعraq	.عrqġ
to avoid	k ţţrf	tkka ţţrf	kiġ ́ţtrf
to bake	ssnu	ssnwa	ssnwiġ
to bargain	šţţr	tšţţar	šţţrġ
to bark	aġ	taġ	yaġ (for dog)
to bark	shub	shubu	---
to bathe	.عum	tعum	.عumġ
to bathe	ssird	ssirid	ssurdġ/ssirdġ
to be (description)	g	tgga	giġ
to be (in a location)	ili	tili	lliġ
to be a lot	.عtu	.عttu	.عtiġ
to be able	iġiy	tiġiy	ġiyġ
to be abundant	xyyr	txyyar	xuyyrġ
to be afraid	ggd	tggd	ggdġ
to be aglow	aġ	ttaġ	aġġ
to be alive	.عiš	tعiš	.عišġ
to be alive	ddr	tddr	ddrġ
to be angry	qllq	tqllaq	qllqġ
to be angry*	zعf	tzعaf	zعfġ
to be anxious	Hyyr	tHyyar	Hyyrġ
to be ashamed	Haššm	tHššam	Hššmġ
to be bad	xxu	txxu	xxiġ
to be beautiful	Hlu	tHlu	Hliġ
to be beautiful	ţrrf	t'ţrraf	ţrrfġ
to be bent	šnu	šnnu	kniġ
to be big	xitr	txitir	xatrġ
to be bitter	Hrru	tHrru	Hrriġ
to be bitter	rzag	trzig	rzagġ
to be bland	msis	tmsis	mssusġ
to be boiled	blbţ	tblbuţ	blbţġ
to be boiled	nu	nggua	nwiġ
to be boiled	rkm	rkkm	rkmġ
to be born	lal	tlala	luliġ
to be brave	.عzzu	tعzzu	.عzziġ
to be brave	zعm	tzعam	zعmġ
to be bright	ssidd	tsidid	ssuddiġ
to be broken	rz	rzza	rziġ
to be burned	ġus	tġus	ġusġ
to be burned	kumt	kummt	kumtġ
to be burnt	kmď	tkmaď	kmďġ
to be busy	ur sala (conj)	ur tsala	ur salaġ
to be calm	hddn	thddan	hddnġ
to be careful	Hďu (ixf*)	Hţţu (ixf*)	Hďiġ ixfinu
to be careful	rar lbal	trara lbal	ruriġ lbal
to be cheap	rxs	trxas	rxġ
to be clean	nqu	tnqu	nqiġ
to be clear (water)	zdig	tzdig	zddigġ
to be clear*	bayn	tbayan	baynġ
to be close	nmili	tnmili	nmalaġ
to be close	qrrb	tqrrab	qrrbġ
to be cloudy (water)	rkiz	trkiz	rkkizġ
to be cold	krm	tkram	krmġ
to be cold	qrf	qrrf	qrfġ
to be comfortable (adj)	lwiġ	tluwiġ	lgwaq
"to be comfortable(emotionally)"	zعm ġif	tzعam ġif	zعmġ ġif
to be comfortable (physically)	rtaH	trtaH	rtaHġ
to be confident	zعm	tzعam	zعmġ
to be confused	tlf	t'tlaf	tlfġ
to be confused*	Htar	tHtar	Htarġ
to be constipated	iqur udis	----------	iqur adis inu
to be contagious	slġ	sllġ	slq
to be cooked	nw	nggua	nwiġ
to be correct	yusad	tassa	usaġ
to be crazy	hbl	thbal	hblġ
to be crazy	mmiعdr	tmiعdir	mmaعdrġ
to be crippled	kkušm	tkušum	kkušmġ
to be crooked	.عwwj	tعwwaj	.عwwjġ
to be crowded	.عmmr	tعmmar	.عmmrġ
to be cured	jji	tjji	jjiġ
to be curvy	frġ	frrġ	frrq
to be dangerous	g (conj) l-xatar	tgga l-xatar	giġ l-xatar
to be dark	ilis	tilis	llasġ
to be dead	mmt	tmtat	mmutġ
to be deaf	ddurdr	tdurdur	ddurdrġ
to be deep	zdr	zddr	zdrġ
to be dehydrated	šHf	tšHaf	šHfġ
to be delayed	.عţţr	tعţţar	.عţţrġ
to be different	xtalf	txtalaf	xtalfġ
to be difficult	šqu	tšqu	šqiġ
to be difficult	wعr	twعar	wعrġ
to be dirty	jlx	jllx	jlxġ
to be dirty	wssx	twsax	wssxġ
to be distant	.عrq	tعraq	.عrqġ
to be distant	bعd	tbعad	bعdġ
to be dizzy	dwx	tdwwax	dwxaġ
to be dizzy	mlili	tml'llay	ml'lliġ
to be drunk	skr	tskar	skrġ
to be dry (i.e. bread)	qar	tġar	qqurġ
to be easy	rxu	trxu	rxiġ
to be embarrassed	Hššm	tHššam	Hššmġ
to be engaged	xtb	txtab	xtbġ
to be enthusiastic	tHmms	tHmmas	tHmmsġ
to be epileptic	ut (reflexive) ljnun	kkat ljnun	utni ljnun
to be epileptic	ut (reflexive) uquryan	kkat aquryan	yuti uqryan
to be examined	zzri	zzray	zzriġ
to be excited	frH	tfraH	frHġ
to be expensive	ġlu	tġlu	ġliġ
to be extraordinary	g (conj) lعjb	tgga lعjb	giġ lعjb
to be far away	.عrq	tعraq	.عrqġ
to be far away	bعd	tbعad	bعdġ
to be fast	srbi	tsrbay	srbiġ
to be fast	zrb	tzrab	zrbġ
to be fat	qwa	tqwu	qwiġ
to be fat	zur	tzir	zurġ
to be fat (people)	şHu	tşHu	şHiġ
to be fermented	xmr	txmar	-----
to be finished	kml	tkmmal	kmmlġ
to be finished	smur	tsmur	smarġ
to be flooded	nji	tnjay	njiġ
to be free (time)	sulu	tsili	salaġ
to be frozen	jmmd	tjmmad	jmmdġ
to be full	.عmr	tعmmar	.عmmrġ
to be full (of food)	djun	tdjiwin	djiwnġ
to be full (of food)	šbع	tšbaع	šbعġ
to be generous	Hzzm	tHzzam	Hzzmġ
to be good	Hlu	tHlu	Hliġ
to be good	ziyl	tzil	zilġ
to be greedy	illa dig (conj) jjuع	tili dig jjuع	illa digi jjuع
to be greedy	juع	tjuع	juعġ
to be gross	xxu	txxu	xxiġ
to be ground (i.e. spices)	zď	zaď/zďďa	zďiġ
to be happy	frH	tfraH	frHġ
to be hard	qqar	tġar	qqurġ
to be hard	šqu	tšqu	šqiġ
to be healed	jji	tjji	jjiġ
to be healthy	şHu	tşHu	şHiġ
to be heavy	iziy	tiziy	zzayġ
to be heavy	stul	tstul	stulġ
"to be hit in the head with astone"	mrz	tmraz	mrzġ
to be hot	Hmu	tHmu	Hmiġ
to be hot	rġ	rqqa	rġiġ
to be hungry	dig (reflexive) laz	---	ila digi laz
to be hungry	nġ (reflexive)  laz	inqqa laz	inġayi laz
to be hurt badly	.عrrm	tعrram	.عrrmġ
to be ill	mrď	tmraď	mrďġ
to be immature	fsis	tifsis	fssusġ
to be immature	imzi* lعql	tmzi+o.p lعql	imzziyi lعql
to be in a hurry	Harš	tHraš	Haršġ
to be in a hurry	zrb	tzrab	zrbġ
to be in charge	qabl	tqabal	qablġ
to be in peace	hnna	thnna	hnnaġ
to be intelligent	šwu	tšwu	šwiġ
to be interested	ihmma	ithmma	ihmmay-i (reflexive)
to be interesting	hmma	thmma	hmmaġ
to be involved	umu	tumu	amuġ
to be itchy	tš (conj. as reflexive v)	t'tša	itšayi
to be jocular	ršq	tršaq	ršqġ
to be large	usع	tusaع	usعġ
to be late	.عţţr	tعţţar	.عţţrġ
to be leaning	myyl	tmyyal	myylġ
to be left over	šayď	tšayaď	šyďġ
to be light (not heavy)	fsis	tifsis	fssusġ
to be lonely	qnţ	tqnaţ	qnţġ
to be long	ġzif	tġzif	ġzzifġ
to be long	xitr	txitir	xatrġ
to be loose	narzm	tnirzim	nnurzmġ
to be lost	ašk	taška	uškiġ
to be lost	tl'f	t'tlaf	tlfġ
to be lost	zl	zal/zlla	zliġ
to be lost in thought	xmm	txmmam	xmm'mġ
to be loud	suqr	suqqur	suqrġ
to be lucky	ġur (conj) zzhr	"ġur (conj in simplepresent) itili zzhr"	ġuri zzhr
to be mad	qllq	tqllaq	qllqġ
to be mad*	zعf	tzعaf	zعfġ
to be married	awl	tawl	iwlġ
to be married	tahl	t'tahl	tahlġ
to be melted (adj)	fsi	fssi	fsiġ
to be messy	xwwď	txwwaď	xwwďġ
to be mixed	xllţ	txllaţ	xllţġ
to be muddy	rkiz	trkiz	rkkizġ
to be narrow	qmr	qmmr/tqmar	qmrġ
to be naughty	qjar	tqjar	qjrġ
to be nauseous	aġ (conj) tmlilay	taġ tmlilay	aġnti tmlilay
to be near	nmili	tnmili	nmalaġ
to be near	qrrb	tqrrab	qrrbġ
to be next to	wala	twala	walaġ
to be nice	Hlu	Hllu	Hliġ
to be obvious*	bayn	tbayan	baynġ
to be old	xitr	txitir	xatrġ
to be older than	agur	tagur	ugrġ
to be outgoing	zعm	tzعam	zعmġ
to be overripe	bbrţuţţy	----	bbrţuţţiġ
to be overripe	lbibţ	tlbibiţ	lbibţġ
to be pale	wriġ	twriġ	wraġ'ġ
to be pale	zrf	tzraf/zrrf	zrfġ
to be part of	umu	ttumu	amuġ
to be patient	şbr	tşbar	şbrġ
to be pleasing to	.عjb	tعjab	.عjbġ
to be poor	dعf	tďعaf	ďعfġ
to be poor	g (conj) lmskin/igllin	----	giġ lmskin
to be poor	Htadja	tHtadja	Htadjaġ
to be possible	ml	----	mlġ
to be pregnant	"aru (conj in presenttense)"	ttaru	kiġ dattaruġ
to be prepared (adj)	wjd	twjad	wjdġ
to be pretty	Hlu	tHlu	Hliġ
to be quiet	fst	tfsta	fstiġ
to be ready	ujd	twjad	wjdġ
to be ready for something	.عawwl ġif	tعwwal ġif	.عawwlġ ġif
to be religious	g adyyani	tga adyyani	giġ adyyani
to be rich	rbH	trbaH	rbHġ
to be right	ġzin	tġzin	zanġ
to be ripe	nu	nggua	nwiġ
to be rotten	ixomj	xmmj	xumjġ
to be round	dwr	tdwwar	dwwrġ
to be rubbed raw	"nj""m"	"njj""m"	"nj""mġ"
to be scarce	drus	tdris	drusġ
to be scared	ggud	tggud	ggdġ
to be scared	xlع	txlaع	xlعġ
to be selfish	g (conj) anani	tgga anani	giġ anani
to be separate	sti	stti	stiġ
to be separated from	mzaray d	tmziriy d	mzarayġ d
to be sharp	šwu	tšwu	šwiġ
to be shiny	şfu	tşfu	şfiġ
to be short	yzil	tyzil	izulġ
to be shy	Hššm	tHşşam	Hşşmġ
to be sick	inġa* kra	nqqa kra	inġayi kra
to be sick	mrď	tmraď	mrďġ
to be sifted	afuf	tifif	afufġ
to be silent	fst	tfssta	fsstiġ
to be slippery	iššď	tššď	ššď
to be small	mziy	tmziy	mzziyġ
to be small (in number)	drus	tdris	drusġ
to be smart	šwu	tšwu	šwiġ
to be soft	lwiġ	tlwiġ	luggaġ'ġ
to be sour	smim	tsmim	smmumġ
to be spicy	Hrru	tHrru	Hrriġ
to be squished	snyumu	snyumu	snyamaġ
to be stale	qqar	tġar	qqurġ
to be still	wr	twar	wrġ
to be straight	nm	tnam	nmġ
to be strong	şHu	tşHu	şHiġ
to be surprised	rعb	trعab	rعbġ
to be swollen	bzi	bzzi	bziġ
to be tall	ġzif	tġzif	ġzzifġ
to be tangled	mmarks	tmarkas	mmurksġ
to be tense (muscles)	qqrş	qqrş	qqrşġ
to be thick	zur	tzir	zurġ
to be thin (objects)	sdid	tsdid	sdidġ
to be thin (people)	ďعf	tďعaf	ďعfġ
to be thirsty	dig* fad	dig* itili fad	digi fad
to be thirsty	inġa* fad	nqqa fad	inġayi fad
to be tight	nyumu	tnyumu	nyamaġ
to be tired	rmi	trmay	rmiġ
to be tired	uHl	tuHal	uHlġ
to be ugly	xxu	txxu	xxiġ
to be unable	rmi	trmay	rmiġ
to be unhappy	qnď	tqnaď	qnďġ
to be upset	qllq	tqllaq	qllqġ
to be used to	walf	twalaf	walfġ
to be useful	nfع	tnfaع	nfعġ
to be useful	slaH	sllH	slHġ
to be vacant (adj)	ar	ttara	araġ
to be vast	usع	tusaع	usعġ
to be warm	ruġ	rqqa	rġiġ
to be weak	dعf	ttdعaf	dعfġ
to be wet	mmġ	tmmġ	mmġ'ġ
to be white	mlil	tmlil	mllulġ
to be wide	usع	wssع	usعġ
to be worried	qllq	tqllaq	qllqġ
to be worth	su	ssa	swiġ
to be worth	sua	tswa	swiġ
to be/make conditional upon	šrţ	şrrţ	şrţġ
to bear	tHmml	tHmmal	tHmmlġ
to beat	dz	tdza	ddziġ
to beat	kkum	tkkum	kkmġ
to beat	ut	kkat	utġ
to beat (win)	rnu	trnu	rniġ
to beat up	nnaġ	tnaġ	nnaġ'ġ
to become acquainted	myassan	tmyassan	myassanġ
to become used to	walf	twalaf	walfġ
to befriend	myassan	tmyassan	myassanġ
to beg	ttr	t'ttr	ttrġ
to begin	bdu	bddu	bdiġ
to belch	grع	tgrraع	grعġ
to believe	amn	tamn	umnġ
to bend (oneself)	knu	knnu	kniġ
to bend (something)	sknu	sknu	skniġ
to benefit from	snfع	snfaع	snfعġ
to benefit from*	stafd	tstafad	stafdġ
to betray	ġďr	tġďar	ġďrġ
to bite	qjj	tqjaj	qjjiġ
to bite	qrš	tqraš	qršġ
to bite (insects)	qqs	tqqs	qqsġ
to blame*	lum	tlum	lumġ
to bleat (i.e. sheep)	sbiع	sbiع	isbaعa (3rd pers
to blink	smnġr	smnġar	smnġrġ
to bloom	şţġ	şţţġ	"şţġnt (3rd pers. fem.pl)"
to blow on a fire	şud	şud/swad	şudġ
to blow ones nose	nsr	nssr	nsrġ
to blow up (air)	suf	swuf	sufġ
to blow up (explode)	sţġ	sţţġ	sţġ'ġ
to boil	sblbţ	sblbaţ	sblbţġ
to boil	ssrkm	ssrkam	ssrkmġ
to bomb	şţġ	şţţġ	şţġ'ġ
to bomb	şţiqs	sţiqqis	tiqqsġ
to borrow	rďl	rţţl	rďlġ
to bother	brzd	tbrzat	brzdġ
to bother	sddع	tsddaع	sddعġ
to bow	Hudr	tHudur	Hudrġ
to brag	dig* sHam	-----	digi sHam
to break	rz	rzza	rziġ
"to break down (vehicles,machinary)"	xsr	txsar	xsrġ
to breastfeed	ssuţţ't	ssuţut	ssuţţ'tġ
to breastfeed	ţţd	ţţd	ţţ'tġ
to breastfeed*	rďďع	srďďaع	rďďعġ
to breathe	sunfs	sunfus	sunfsġ
to bribe	fk (conj) r-ršwa	akka r-ršwa	fkiġ r-ršwa
to bring	awi	tawi	iwiġ
to brush	krď	krrď	krďġ
to brush (hair)	mšţ	mššţ	mšţġ
to build	bnu	bnnu	bniġ
to burn	sġus	sġus	sġusġ
to burn	skmď	skmaď	skmďġ
to burp	ut (conj) agrriع	kkat agrriع	utġ agrriع
to burst	sţġ	sţţġ	sţġ'ġ
to bury	adr	ttadr	udrġ
to buy	sġ	ssaġ	sġiġ
to call	ġr	qqra	ġriġ
to call (on phone)	sawl	sawal	sawlġ
to call (on the phone)	g ttilifun	tgga ttilifun	giġ ttilifun
to calm	sfst	sfsta	sfstiġ
to capture	amz	tamz	umzġ
"to care (usually used innegative)"	kkul	tkkul	kkulġ
to carry	asi	tasi	usiġ
to cash	srrf	tsrraf	srrfġ
to catch	amz	tamz	umzġ
to catch up to	ssikl	ssikil	ssiklġ
to cause	sbb'b	tsbbab	sbb'bġ
"to cause something not towork"	sxsr	sxsar	sxsrġ
to cauterize	qqd	tqqd	qqdġ
to celebrate	g lfrH	tgga lfrH	giġ lfrH
to celebrate	Htafl	tHtafal	Htaflġ
to change	bddl	tbddal	bddlġ
to change (clothes)	xllf	txllaf	xllfġ
to change (money)	şrrf	tşrraf	şrrfġ
to charge	šarji	tšarji	šarjiġ
to cheat	ġušu	tġušu	ġušiġ
to chew	fz	tfzzaz	fziġ
to choke	Hnq	Hnnq	Hnqġ
to choose	sti	stti	stiġ
to choose	xtar	txtar	xtarġ
to churn (milk)	sndu	sndu	sndiġ
to clean	ssird	ssirid	ssurdġ
"to clean (with soap, water,squeegee)"	siaq	tsiaq	syyqġ
to climb	ali	tali	uliġ
to climb down	ggz	tggz	ggzġ
to close	qqn	tqqn	qqnġ
to collapse (people)	sxf	tsxaf	sxfġ
to collect	jjmع	jjmaع	jjmعġ
to collect water	agm	tagm	ugmġ
to collect wood	zdm	zddm	zdmġ
to collide	mlqay	tmlaqay	mlaqayġ
to color	lwwn	tlwwan	lwwnġ
to comb (hair)	krď	krrď	krďġ
to comb (wool)	mšt	mššţ	mštġ
to come back	uġuld	tuġuld/taġuld	aġulġd
to come in	kšm	kššm	kšmġ
to command	amr	tamr	umrġ
to compete	mjahad	tmjahad	mjahadġ
to compete	nafs	tnafas	nafsġ
to complain	smumi	smummuy	smummiġ
to complain	štka	tštka	štkaġ
to complain	štša	tštša	štšaġ
to complete	kmml	tkmmal	kmmlġ
to confuse	xrbq	txrbaq	xrbqġ
to consume	sthlk	sthlak	sthlkġ
to convert	kujm	kujjm	kujmġ
to convince	qnع	tqnnaع	qnعġ
to convulse	rjij	trjiji	rjajġ
to convulse	ryij	tryiji	ryajġ
to cook	snu	ssnwa	ssnwiġ
to cook	ssmr	ssmra	ssmriġ
to copy	nql	nqql	nqlġ
to cough	skuHu	skuHu	skuHiġ
to cough	usu	tusu	asuġ
to cough phlegm	sxixi	sxuxuy	sxuxiġ
to count	Hasb	tHasab	Hasbġ
to count	zmm'm	tzmmam	zmm'mġ
to cover	dl	ddal	dlġ
to cover (a dead body)	adr i	ttadr i	udrġ i
to covet	ţmع	ţmmع	ţmعġ
to crack	sţġ	şţţġ	şţġ'ġ
to crash	ġrf	qqrf	ġrfġ
to crawl (babies)	Hbu	tHbu	Hbuġ
to crawl (baby)	Hrurd	tHrurud	Hrurdġ
to crow	skuعu	skuعu	iskuعa(3rd per)
to crunch	ġzz'z	tġzzaz	ġzz'zġ
to crunch	qjj	tqjaj	qjjiġ
to crush	snġd	snġad	snġdġ
to cry	al	alla	ulliġ
to cultivate	krz	krrz	krzġ
to cure	juji	jujuy	jjiġ
to cut	bbi	tbbi	bbiġ
to cut	ks	tks	ksġ
to cut (grass)	Hšš	tHšaš	Hššiġ
to cut (hair)	Hssn	tHssan	Hssnġ
to cut (hair)	kks (azar)	tkks(azar)	kksġ (azar)
to cut (skin)	jrH	jrrH	jrHġ
to damage	sxsr	sxsar	sxsrġ
to dampen	ssumġ	ssumuġ	ssumġ'ġ
to dance	štH	tštaH	štHġ
